address_id,customer_id,address_type,is_primary,street_address,city,state_province,postal_code,country,created_at
ADDRVI2DIGTG,1,primary,True,5795 Hannah Lodge,Joannland,MI,96175,US,2023-08-15 03:58:51
ADDRI36DE5JA,2,primary,True,115 Harding Prairie Suite 150,Arthurchester,IL,55460,US,2025-05-12 23:44:02
ADDRJTMRNZMU,2,billing,False,178 Samuel Locks Suite 380,South Virginia,IL,61405,US,2025-06-21 22:50:19
ADDRGV7MZSL7,3,primary,True,00791 Wilkerson Lane,South Deniseville,MI,45131,US,2023-12-13 22:34:15
ADDRHSZDIMOP,4,primary,True,2200 Jennings Mountain,Frenchport,MI,70175,US,2025-02-18 19:08:56
ADDRP5XH4ZUZ,4,work,False,86467 White Camp,Stewartburgh,NC,04272,US,2023-03-03 01:07:46
ADDRJQTF8NBE,5,primary,True,96998 Murray Radial Apt. 834,East Angelabury,MI,81331,US,2023-03-20 21:32:58
ADDR916PJPVW,6,primary,True,54568 Erik Turnpike Suite 940,Port Amyhaven,OH,03299,US,2024-04-27 23:13:37
ADDRZGH2YTES,6,shipping,False,829 Taylor Loop,North Samanthamouth,TX,60077,US,2025-08-08 23:50:18
ADDRVGR0V9D5,7,primary,True,9512 Blanchard Orchard Suite 339,North Deborah,FL,05539,US,2024-01-06 11:22:10
ADDR743VC2W4,8,primary,True,224 Smith Springs,Scottburgh,FL,31923,US,2025-06-10 19:13:34
ADDR4G8QDE12,8,work,False,68702 Charles Via Suite 502,North Kathleen,TX,91294,US,2025-05-15 10:24:55
ADDRW60N330P,9,primary,True,6076 Melissa Ford,South John,FL,18439,US,2024-03-14 10:49:11
ADDRFDMOWIHY,9,billing,False,28539 Jamie Courts Apt. 200,North Patricia,NC,96565,US,2024-04-21 18:38:27
ADDRGEEIT8AB,10,primary,True,76938 Erin Light,Lake Davidville,GA,81454,US,2024-07-14 01:25:04
ADDR7VSKY6C5,11,primary,True,1857 Moore Park,Lake Holly,NC,91438,US,2024-02-19 13:53:22
ADDR1MRN10H5,12,primary,True,081 Rowe Path,Kristiton,FL,85079,US,2022-11-13 03:15:21
ADDR4X5VQFJK,13,primary,True,08277 Daniel Heights,New Michellemouth,NY,48666,US,2024-05-01 09:11:25
ADDRD6ARYGYZ,13,billing,False,0003 Smith Ranch,Williamhaven,FL,39975,US,2024-01-17 01:26:32
ADDRRWHPMPCE,14,primary,True,731 Black Views Suite 853,New Maxwell,IL,69005,US,2023-07-09 13:33:12
ADDRRILUDQD6,14,shipping,False,1175 Long Rue,Jasonberg,OH,96621,US,2023-02-06 17:58:38
ADDR6IH10EJQ,15,primary,True,1302 Torres Manors,Turnershire,CA,73131,US,2025-03-10 11:19:13
ADDR8M7D53II,16,primary,True,562 Watson Greens Apt. 428,Blairland,CA,80608,US,2023-05-24 04:21:08
ADDRPR4TW5S6,16,shipping,False,29957 Dylan Fields,Markborough,GA,93019,US,2024-07-02 01:51:24
ADDRZ3CE55H7,17,primary,True,536 Landry Viaduct,West Johnberg,MI,84265,US,2023-08-17 14:02:03
ADDR9MIZNQ78,18,primary,True,5148 Andrea Turnpike Apt. 479,Lake Sheila,FL,16303,US,2024-07-14 11:43:00
ADDR0PY9B7OX,19,primary,True,090 Brian Street,South Tyrone,IL,93019,US,2022-10-30 23:50:45
ADDRBZ4GJHJJ,20,primary,True,14125 Lisa Terrace Apt. 974,Danielstad,FL,78737,US,2024-07-29 11:35:02
ADDR0U2VJF17,20,billing,False,75582 Benjamin Field,Johnview,CA,72622,US,2023-09-06 21:31:36
ADDRF78OSLQB,21,primary,True,243 Bailey Forge,West Katherineberg,NC,92092,US,2024-08-10 22:30:08
ADDR77LRC6G1,22,primary,True,7918 Stacy Curve,Jessicaside,NY,38683,US,2025-03-08 04:17:19
ADDRBBBCPWFS,22,shipping,False,0774 Taylor Burgs,Josephview,GA,04710,US,2025-07-17 10:14:45
ADDR5KNORTLQ,23,primary,True,1037 Fuller Motorway,Lake Kaylaside,CA,20598,US,2023-01-07 02:38:04
ADDRIJPHGKNX,23,work,False,53458 Carlos Lights Suite 579,South Brandon,OH,16093,US,2022-11-12 20:35:15
ADDRT71M00LQ,24,primary,True,3959 Garcia Stravenue Apt. 662,South Joseph,GA,33469,US,2022-11-16 19:27:34
ADDRH913SD09,24,shipping,False,457 Fields Cliffs Suite 877,Port Leahton,MI,49706,US,2025-03-20 15:03:07
ADDRM3MULOB7,25,primary,True,1741 Richard Plains,North William,NY,24982,US,2023-05-03 15:52:52
ADDRZQLG40SW,25,billing,False,995 Lacey Station,Port Michael,CA,27246,US,2023-02-01 02:24:35
ADDRG5L0MRVN,26,primary,True,7751 Carter Ford Apt. 484,West Alicia,NY,05024,US,2024-11-05 12:19:37
ADDRQEROJK7L,26,billing,False,17504 Lauren Coves,New Brandon,FL,39870,US,2024-10-14 10:00:57
ADDRQTHRGUEW,27,primary,True,420 Jones Overpass,Morenomouth,NY,23816,US,2024-05-14 14:05:34
ADDRN1L9GFVN,27,billing,False,3023 Peterson Fields,South Dennis,PA,11246,US,2024-01-31 18:43:54
ADDR6UA2YY3H,28,primary,True,29841 Barton Ports Apt. 261,Port Johnfort,CA,31081,US,2025-03-14 20:43:54
ADDR7Q7XX1OY,28,billing,False,16014 Kenneth Fork,West Jonathanmouth,CA,49887,US,2025-07-31 05:00:25
ADDRPFKPOVYH,29,primary,True,23260 Scott Crescent,Port Alisonshire,CA,37707,US,2024-04-22 18:49:53
ADDRYULSS506,29,billing,False,54829 Lucas Mews,West Lukebury,NC,58552,US,2024-01-23 00:56:06
ADDRUMWFRGN1,30,primary,True,30113 Stevenson Rapids,Port Donald,FL,83466,US,2023-01-06 09:01:03
ADDR6FQ3RWK3,31,primary,True,576 Pope Track Suite 403,Lopezton,OH,70719,US,2025-04-28 19:35:14
ADDR3VF80JG2,32,primary,True,230 Latasha Tunnel Apt. 431,North Williamberg,NY,36714,US,2024-03-25 13:44:44
ADDRJJ5POBD8,32,work,False,59129 Dawson Forge,Kellyland,OH,36097,US,2025-04-17 03:28:41
ADDRBNSG3N0S,33,primary,True,88561 Griffith Rapid,Juarezburgh,NC,40865,US,2023-11-04 02:17:51
ADDR7WG8V961,34,primary,True,38285 Cox Extensions Suite 271,Amyberg,MI,89975,US,2025-04-22 21:37:43
