customer_id,first_name,last_name,email,phone,date_of_birth,gender,registration_date,acquisition_channel,marketing_consent,account_status,preferred_language,created_at,updated_at,last_activity_date
1,Ashley,Ferguson,fosteralexander@example.net,476.297.4995x6412,1964-12-04,female,2025-08-07 00:47:18,social,False,inactive,English,2025-08-07 00:47:18,2025-08-25 13:23:21,2025-08-17 21:33:48
2,Michael,Lopez,clarkdeborah@example.net,868.231.4727,1985-11-13,male,2022-10-20 14:32:05,referral,True,active,English,2022-10-20 14:32:05,2023-04-19 12:26:03,2023-07-05 15:23:46
3,Nancy,Wallace,cruiz@example.net,834.896.0501,1965-12-17,female,2023-05-20 17:00:10,referral,True,inactive,English,2023-05-20 17:00:10,2025-06-28 18:09:28,2024-08-14 09:51:47
4,James,Palmer,dhall@example.net,3699581467,1956-01-15,male,2024-10-22 05:28:38,organic,True,active,English,2024-10-22 05:28:38,2025-06-21 01:25:51,2025-06-30 04:18:34
5,Melissa,Smith,jessica75@example.com,883.895.9724,2005-05-15,female,2024-08-22 09:04:19,organic,True,active,English,2024-08-22 09:04:19,2025-05-29 04:43:20,2025-08-24 05:50:42
6,Marco,Campbell,estradadavid@example.org,(297)216-7433,1983-11-07,male,2023-06-04 15:02:52,referral,True,active,English,2023-06-04 15:02:52,2024-12-12 23:35:14,2024-07-13 18:40:30
7,Christopher,Clayton,romanmatthew@example.org,+1-431-383-7455x084,1983-05-19,male,2025-08-12 11:59:23,organic,True,active,English,2025-08-12 11:59:23,2025-09-15 19:00:39,2025-08-14 22:44:08
8,Robert,Estes,villegaskimberly@example.net,480-681-2135,1998-12-26,male,2024-08-06 01:39:09,organic,True,active,English,2024-08-06 01:39:09,2025-07-15 00:08:34,2025-09-03 00:14:56
9,Brittany,Cox,davidharris@example.com,001-403-875-4821x456,1961-07-13,female,2023-02-27 04:14:51,paid_ads,True,active,English,2023-02-27 04:14:51,2024-02-16 15:29:21,2023-09-29 13:02:56
10,Jason,Ortiz,hcrane@example.net,(807)220-8115x562,1984-11-07,male,2024-07-23 01:57:52,social,False,active,English,2024-07-23 01:57:52,2025-05-24 12:58:44,2024-08-20 21:26:30
11,Brittany,Andrews,robert84@example.net,001-955-704-8926x738,1981-09-14,female,2025-06-18 09:52:00,organic,True,active,English,2025-06-18 09:52:00,2025-09-04 22:59:59,2025-07-26 17:19:53
12,Bradley,Medina,vhardy@example.org,684.531.8848x52008,1984-12-08,male,2024-01-07 08:11:45,organic,False,active,English,2024-01-07 08:11:45,2025-08-30 15:32:34,2024-08-30 10:05:13
13,Victoria,Rodriguez,skinnerjordan@example.net,(510)717-4907x539,1977-10-10,female,2024-07-13 15:23:55,paid_ads,True,active,English,2024-07-13 15:23:55,2025-03-03 00:55:15,2025-02-19 15:31:28
14,Megan,Klein,danielblack@example.org,001-957-312-6611x062,1959-09-17,female,2025-03-03 16:32:39,referral,True,active,English,2025-03-03 16:32:39,2025-07-25 02:36:56,2025-09-24 01:36:06
15,Kristin,Maxwell,breanna67@example.net,962.928.2772x8813,2005-06-06,female,2025-03-27 17:26:47,organic,False,active,English,2025-03-27 17:26:47,2025-04-03 01:24:28,2025-08-19 16:22:16
16,Jacob,Crane,xrodriguez@example.net,408-821-5454x4702,1972-03-01,male,2025-02-10 08:18:56,social,True,active,English,2025-02-10 08:18:56,2025-03-01 05:46:34,2025-06-08 20:38:59
17,Daniel,Fuentes,jsmith@example.com,806-979-4975,1940-12-11,male,2023-12-10 07:16:34,organic,True,inactive,English,2023-12-10 07:16:34,2025-09-18 10:44:15,2025-06-21 13:40:23
18,Brandi,Taylor,qgill@example.com,(751)299-6636,1982-11-20,female,2025-04-23 20:47:05,organic,True,active,English,2025-04-23 20:47:05,2025-09-01 01:16:46,2025-07-18 21:45:45
19,Matthew,Cline,armstronglaura@example.net,981-281-3989x0983,1993-10-13,male,2023-11-30 19:34:59,organic,False,active,English,2023-11-30 19:34:59,2024-03-03 05:49:26,2025-04-25 02:20:04
20,Christopher,Smith,johnthornton@example.net,418.895.6907x056,1955-12-30,male,2024-12-30 03:26:49,paid_ads,True,active,English,2024-12-30 03:26:49,2025-01-08 11:40:25,2025-07-23 03:50:52
21,David,Wilson,weaverjustin@example.org,612-846-2095x200,1980-05-03,male,2024-05-11 08:41:30,referral,True,inactive,English,2024-05-11 08:41:30,2024-07-27 01:25:02,2025-01-14 22:41:49
22,Steven,Scott,williamsjohn@example.net,001-737-988-6140,1990-02-25,male,2024-06-28 05:26:23,organic,False,active,English,2024-06-28 05:26:23,2025-08-31 20:21:50,2025-05-10 09:53:42
23,Allen,Schultz,adamstabitha@example.net,538-424-9671,1970-01-26,male,2024-10-17 01:30:44,organic,True,active,English,2024-10-17 01:30:44,2025-03-11 00:58:08,2025-05-14 22:46:32
24,Kimberly,Henderson,dwilliams@example.net,620-207-4946x5398,1966-03-07,female,2023-10-11 18:34:21,organic,True,inactive,English,2023-10-11 18:34:21,2024-02-14 03:35:25,2025-05-07 21:56:28
25,Andrea,Davis,rivasjessica@example.com,(739)285-5474x35537,1992-07-26,female,2025-02-16 15:29:34,email,False,active,English,2025-02-16 15:29:34,2025-04-09 13:54:25,2025-02-17 10:34:37
26,Aaron,Smith,robertwoodard@example.net,868.411.8071x5695,1957-08-25,male,2024-10-05 04:34:37,paid_ads,True,inactive,English,2024-10-05 04:34:37,2025-08-27 01:58:57,2025-07-30 10:32:14
27,William,Martinez,sharon70@example.org,001-604-953-1943x375,1977-11-12,male,2025-09-12 17:27:24,email,True,active,English,2025-09-12 17:27:24,2025-09-17 19:15:29,2025-09-12 21:36:48
28,Jennifer,Kane,mjackson@example.net,001-699-592-1921x249,1959-03-18,female,2025-06-13 16:54:47,social,False,inactive,English,2025-06-13 16:54:47,2025-06-18 04:38:54,2025-09-25 04:36:01
29,Michael,Ware,pacedanielle@example.net,7562641877,1999-08-27,male,2023-10-23 19:52:15,paid_ads,True,active,English,2023-10-23 19:52:15,2025-09-09 07:08:32,2025-05-06 00:23:28
